inst,fam,seed,it,pos
air03,MIPLIB2003,0,6,0.1127629897
air03,MIPLIB2003,0,21,0.01955553225
air03,MIPLIB2003,0,29,0.1186231362
air03,MIPLIB2003,0,47,0.04855852069
air03,MIPLIB2003,0,68,0.03981566929
air03,MIPLIB2003,0,90,0.05818107075
air03,MIPLIB2003,0,128,0.06756001194
air03,MIPLIB2003,0,141,0.05544723796
air03,MIPLIB2003,0,172,0.05203671389
air03,MIPLIB2003,0,179,0.05807280014
air03,MIPLIB2003,0,194,0.0340231919
air03,MIPLIB2003,0,214,0.06083370058
air03,MIPLIB2003,0,228,0.03958559426
air03,MIPLIB2003,0,234,0.001826220603
air03,MIPLIB2003,0,269,0.06239009053
air03,MIPLIB2003,0,275,0.04449837298
air03,MIPLIB2003,0,288,0.02625477596
air03,MIPLIB2003,0,310,0.02101718542
air03,MIPLIB2003,0,378,0.05390438183
air03,MIPLIB2003,0,387,0.03625627314
air03,MIPLIB2003,0,393,0.02385928881
air03,MIPLIB2003,0,399,0.05803219866
air03,MIPLIB2003,0,405,0.06387881136
air03,MIPLIB2003,0,420,0.02352094317
air03,MIPLIB2003,0,437,0.01029839548
air03,MIPLIB2003,0,458,6.682326431e-05
air03,MIPLIB2003,0,470,0.03682469382
air03,MIPLIB2003,0,476,0.03793446752
air03,MIPLIB2003,0,483,0.03942318835
air03,MIPLIB2003,0,490,0.0701720403
air03,MIPLIB2003,0,500,0.01276155175
air03,MIPLIB2003,0,534,0.03478108614
air03,MIPLIB2003,0,554,0.04727280725
air03,MIPLIB2003,0,578,0.05311941994
air03,MIPLIB2003,0,596,0.05084573723
air03,MIPLIB2003,0,615,0.01799914229
air03,MIPLIB2003,0,626,0.01299162679
air03,MIPLIB2003,0,643,1.268796158e-05
air03,MIPLIB2003,0,658,0.07356903055
air03,MIPLIB2003,0,669,0.0265931216
air03,MIPLIB2003,0,674,0.00682020228
air03,MIPLIB2003,0,690,0.2095839787
air03,MIPLIB2003,0,745,0.08306977618
air03,MIPLIB2003,0,754,0.07673594576
air03,MIPLIB2003,0,761,0.02660665543
air03,MIPLIB2003,0,789,0.04054649588
air03,MIPLIB2003,0,821,0.09871487867
air03,MIPLIB2003,0,828,0.0190547807
air03,MIPLIB2003,0,836,0.04897806928
air03,MIPLIB2003,0,850,0.1643810009
air03,MIPLIB2003,0,885,0.004072835666
air03,MIPLIB2003,0,891,0.01158410892
air03,MIPLIB2003,0,928,0.1038577324
air03,MIPLIB2003,0,949,0.08714345771
air03,MIPLIB2003,0,955,0.04330739632
air03,MIPLIB2003,0,967,0.05087280488
air03,MIPLIB2003,0,975,0.03300815498
air03,MIPLIB2003,0,981,0.005480353537
air03,MIPLIB2003,0,987,0.0717013626
air03,MIPLIB2003,0,995,0.02297959015
air03,MIPLIB2003,0,1005,0.0677494855
air03,MIPLIB2003,0,1018,0.05800513101
air03,MIPLIB2003,0,1072,0.04483671862
air03,MIPLIB2003,0,1084,0.01308636357
air03,MIPLIB2003,0,1118,0.1245238842
air03,MIPLIB2003,0,1125,0.03472695084
air03,MIPLIB2003,0,1156,0.1179599788
air03,MIPLIB2003,0,1162,0.04470138037
air03,MIPLIB2003,0,1182,0.07079459628
air03,MIPLIB2003,0,1201,0.0573690412
air03,MIPLIB2003,0,1207,0.07923970351
air03,MIPLIB2003,0,1215,0.04918107667
air03,MIPLIB2003,0,1279,0.07171489643
air03,MIPLIB2003,0,1307,0.02770289531
air03,MIPLIB2003,0,1319,0.005791631528
air03,MIPLIB2003,0,1330,0.04705626603
air03,MIPLIB2003,0,1351,0.06107730944
air03,MIPLIB2003,0,1356,0.1185283995
air03,MIPLIB2003,0,1381,0.006048774216
air03,MIPLIB2003,0,1396,0.08726526214
air03,MIPLIB2003,0,1406,0.01928485573
air03,MIPLIB2003,0,1417,0.01722771423
air03,MIPLIB2003,0,1471,0.0766006075
air03,MIPLIB2003,0,1485,0.03487582292
air03,MIPLIB2003,0,1508,0.01717357893
air03,MIPLIB2003,0,1543,0.01435854319
air03,MIPLIB2003,0,1557,0.06730286926
air03,MIPLIB2003,0,1606,0.09801111973
air03,MIPLIB2003,0,1613,0.05548783943
air03,MIPLIB2003,0,1641,0.04596002615
air03,MIPLIB2003,0,1652,0.01051493669
air03,MIPLIB2003,0,1657,0.04072243561
air03,MIPLIB2003,0,1669,0.1168908066
air03,MIPLIB2003,0,1687,0.04900513693
air03,MIPLIB2003,0,1777,0.02747282027
air03,MIPLIB2003,0,1821,0.07344722612
air03,MIPLIB2003,0,1869,0.02717507611
air03,MIPLIB2003,0,1875,0.01369538573
air03,MIPLIB2003,0,1899,0.03672995704
air03,MIPLIB2003,0,1905,0.07029384473
air03,MIPLIB2003,0,1911,0.05232092422
air03,MIPLIB2003,0,1939,0.06477204385
air03,MIPLIB2003,0,1950,0.005913435959
air03,MIPLIB2003,0,1957,0.029123947
air03,MIPLIB2003,0,1972,0.04280664477
air03,MIPLIB2003,0,1994,0.03651341583
air04,MIPLIB2003,0,21,0.05747180993
air04,MIPLIB2003,0,29,0.03032979981
air04,MIPLIB2003,0,45,0.07804720469
air04,MIPLIB2003,0,191,0.01238105118
air04,MIPLIB2003,0,200,0.09555817896
air04,MIPLIB2003,0,203,0.09555817896
air04,MIPLIB2003,0,215,0.009316630683
air05,MIPLIB2003,0,18,0.03862187195
air05,MIPLIB2003,0,91,0.02153336078
air05,MIPLIB2003,0,98,0.04770387788
air05,MIPLIB2003,0,122,0.01221235469
air05,MIPLIB2003,0,128,0.008268852117
air05,MIPLIB2003,0,139,0.05057187975
air05,MIPLIB2003,0,170,0.03073486679
air05,MIPLIB2003,0,201,0.02356486211
air05,MIPLIB2003,0,255,0.01041985352
air05,MIPLIB2003,0,287,0.01257085493
air05,MIPLIB2003,0,313,0.009105352663
air05,MIPLIB2003,0,328,0.004444849619
air05,MIPLIB2003,0,344,0.02368436219
air05,MIPLIB2003,0,365,0.05702488397
air05,MIPLIB2003,0,375,0.04328237499
air05,MIPLIB2003,0,379,0.009105352663
air05,MIPLIB2003,0,395,0.008149352039
air05,MIPLIB2003,0,402,0.006954351258
air05,MIPLIB2003,0,453,0.04423837562
air05,MIPLIB2003,0,458,0.01113685399
air05,MIPLIB2003,0,537,0.0737548949
air05,MIPLIB2003,0,625,0.009105352663
air05,MIPLIB2003,0,633,0.03001786633
air05,MIPLIB2003,0,645,0.008268852117
air05,MIPLIB2003,0,658,0.04710637749
air05,MIPLIB2003,0,699,0.008388352195
air05,MIPLIB2003,0,715,0.03121286711
air05,MIPLIB2003,0,737,0.0475843778
air05,MIPLIB2003,0,762,0.01125635407
air05,MIPLIB2003,0,770,0.02547686336
air05,MIPLIB2003,0,790,0.02810586508
cap6000,MIPLIB2003,0,10,0.04802723022
cap6000,MIPLIB2003,0,18,0.1585319881
cap6000,MIPLIB2003,0,20,0.05453690055
cap6000,MIPLIB2003,0,29,0.06959605615
cap6000,MIPLIB2003,0,39,0.04758379218
cap6000,MIPLIB2003,0,75,0.06088693318
cap6000,MIPLIB2003,0,92,0.06650972744
cap6000,MIPLIB2003,0,94,0.08422951125
cap6000,MIPLIB2003,0,98,0.06168512164
cap6000,MIPLIB2003,0,128,0.07433197435
cap6000,MIPLIB2003,0,137,0.03514978973
cap6000,MIPLIB2003,0,145,0.05950340652
cap6000,MIPLIB2003,0,202,0.01487580285
cap6000,MIPLIB2003,0,208,0.05001383261
cap6000,MIPLIB2003,0,214,0.2678305945
cap6000,MIPLIB2003,0,228,0.002654650655
cap6000,MIPLIB2003,0,251,0.06736112847
cap6000,MIPLIB2003,0,262,0.1483861259
cap6000,MIPLIB2003,0,336,0.03511431469
cap6000,MIPLIB2003,0,346,0.09160832012
cap6000,MIPLIB2003,0,348,0.04728225432
cap6000,MIPLIB2003,0,392,0.1115630316
cap6000,MIPLIB2003,0,394,0.1116871943
cap6000,MIPLIB2003,0,401,0.06289127309
cap6000,MIPLIB2003,0,403,0.06200439703
cap6000,MIPLIB2003,0,405,0.03499015204
cap6000,MIPLIB2003,0,424,0.03539811503
cap6000,MIPLIB2003,0,432,0.003488314157
cap6000,MIPLIB2003,0,438,0.0008276859578
cap6000,MIPLIB2003,0,442,0.03871503152
cap6000,MIPLIB2003,0,451,0.007585681585
cap6000,MIPLIB2003,0,497,0.04359284988
cap6000,MIPLIB2003,0,512,0.07748925315
cap6000,MIPLIB2003,0,514,0.09111166953
cap6000,MIPLIB2003,0,522,0.06828347958
cap6000,MIPLIB2003,0,532,0.07715224024
cap6000,MIPLIB2003,0,537,0.09786966515
cap6000,MIPLIB2003,0,542,0.003683426892
cap6000,MIPLIB2003,0,562,0.01386476414
cap6000,MIPLIB2003,0,567,0.02218366164
cap6000,MIPLIB2003,0,569,0.02205949899
cap6000,MIPLIB2003,0,574,0.04939301936
cap6000,MIPLIB2003,0,578,0.08571946304
cap6000,MIPLIB2003,0,580,0.06799967923
cap6000,MIPLIB2003,0,582,0.09054406885
cap6000,MIPLIB2003,0,584,0.09801156533
cap6000,MIPLIB2003,0,587,0.03633820366
cap6000,MIPLIB2003,0,618,0.01954077096
cap6000,MIPLIB2003,0,679,0.02108393532
cap6000,MIPLIB2003,0,684,0.09820667806
cap6000,MIPLIB2003,0,689,0.1363423489
cap6000,MIPLIB2003,0,691,0.1296020908
cap6000,MIPLIB2003,0,698,0.08985230551
cap6000,MIPLIB2003,0,730,0.06095788327
cap6000,MIPLIB2003,0,745,0.05545925165
cap6000,MIPLIB2003,0,751,0.004676728086
cap6000,MIPLIB2003,0,772,0.05886485575
cap6000,MIPLIB2003,0,779,0.04256407365
cap6000,MIPLIB2003,0,783,0.03452897648
cap6000,MIPLIB2003,0,794,0.05263898576
cap6000,MIPLIB2003,0,810,0.1558358849
cap6000,MIPLIB2003,0,812,0.1532816818
cap6000,MIPLIB2003,0,851,0.02111941036
cap6000,MIPLIB2003,0,853,0.03142491025
cap6000,MIPLIB2003,0,874,0.07848255434
cap6000,MIPLIB2003,0,882,0.0003132978393
cap6000,MIPLIB2003,0,943,0.02823215641
cap6000,MIPLIB2003,0,949,0.06457633762
cap6000,MIPLIB2003,0,955,0.07509468777
cap6000,MIPLIB2003,0,959,0.01044142252
cap6000,MIPLIB2003,0,963,0.01519507824
cap6000,MIPLIB2003,0,968,0.04116280946
cap6000,MIPLIB2003,0,994,0.07124564564
cap6000,MIPLIB2003,0,1004,0.008259707395
cap6000,MIPLIB2003,0,1017,0.1158200367
cap6000,MIPLIB2003,0,1021,0.08662407663
cap6000,MIPLIB2003,0,1027,0.1225602948
cap6000,MIPLIB2003,0,1029,0.1077849396
cap6000,MIPLIB2003,0,1044,0.115660399
cap6000,MIPLIB2003,0,1048,0.1133899963
cap6000,MIPLIB2003,0,1059,0.1008318312
cap6000,MIPLIB2003,0,1067,0.1055854869
cap6000,MIPLIB2003,0,1069,0.1003529181
cap6000,MIPLIB2003,0,1071,0.1431535571
cap6000,MIPLIB2003,0,1084,0.0760347764
cap6000,MIPLIB2003,0,1088,0.03422743862
cap6000,MIPLIB2003,0,1097,0.07475767486
cap6000,MIPLIB2003,0,1116,0.05522866388
cap6000,MIPLIB2003,0,1118,0.04494090151
cap6000,MIPLIB2003,0,1125,0.03110563487
cap6000,MIPLIB2003,0,1127,0.03122979752
cap6000,MIPLIB2003,0,1138,0.01122187346
cap6000,MIPLIB2003,0,1149,0.1014881195
cap6000,MIPLIB2003,0,1157,0.1042196978
cap6000,MIPLIB2003,0,1159,0.1236777587
cap6000,MIPLIB2003,0,1203,0.03089278461
cap6000,MIPLIB2003,0,1220,0.03938905733
cap6000,MIPLIB2003,0,1222,0.3196596319
cap6000,MIPLIB2003,0,1238,0.02299958762
cap6000,MIPLIB2003,0,1304,0.04462162612
cap6000,MIPLIB2003,0,1306,0.05363228696
cap6000,MIPLIB2003,0,1333,0.03880371913
cap6000,MIPLIB2003,0,1362,0.1605540655
cap6000,MIPLIB2003,0,1375,0.1120596822
cap6000,MIPLIB2003,0,1377,0.1360408111
cap6000,MIPLIB2003,0,1382,0.1835241557
cap6000,MIPLIB2003,0,1389,0.09785192763
cap6000,MIPLIB2003,0,1394,0.1389852396
cap6000,MIPLIB2003,0,1397,0.07933395536
cap6000,MIPLIB2003,0,1401,0.08069974451
cap6000,MIPLIB2003,0,1427,0.04031140844
cap6000,MIPLIB2003,0,1452,0.1203076296
cap6000,MIPLIB2003,0,1470,0.1459915605
cap6000,MIPLIB2003,0,1472,0.145530385
cap6000,MIPLIB2003,0,1506,0.007638894149
cap6000,MIPLIB2003,0,1508,0.01168304901
